lat,lon,clusters_10
14.5,10.5,cluster_9
15.5,10.5,cluster_9
16.5,10.5,cluster_9
17.5,10.5,cluster_9
18.5,10.5,cluster_9
19.5,10.5,cluster_9
2.5,10.5,cluster_4
20.5,10.5,cluster_9
21.5,10.5,cluster_9
22.5,10.5,cluster_9
23.5,10.5,cluster_9
24.5,10.5,cluster_9
25.5,10.5,cluster_9
26.5,10.5,cluster_9
27.5,10.5,cluster_9
28.5,10.5,cluster_9
29.5,10.5,cluster_9
3.5,10.5,cluster_4
30.5,10.5,cluster_9
31.5,10.5,cluster_9
32.5,10.5,cluster_9
33.5,10.5,cluster_9
34.5,10.5,cluster_9
35.5,10.5,cluster_9
36.5,10.5,cluster_9
37.5,10.5,cluster_2
38.5,10.5,cluster_2
39.5,10.5,cluster_2
4.5,10.5,cluster_4
40.5,10.5,cluster_2
41.5,10.5,cluster_2
42.5,10.5,cluster_2
43.5,10.5,cluster_2
44.5,10.5,cluster_2
45.5,10.5,cluster_4
46.5,10.5,cluster_4
47.5,10.5,cluster_4
48.5,10.5,cluster_9
49.5,10.5,cluster_9
5.5,10.5,cluster_4
50.5,10.5,cluster_9
51.5,10.5,cluster_9
52.5,10.5,cluster_10
53.5,10.5,cluster_10
54.5,10.5,cluster_10
55.5,10.5,cluster_10
56.5,10.5,cluster_10
57.5,10.5,cluster_10
58.5,10.5,cluster_10
59.5,10.5,cluster_10
6.5,10.5,cluster_4
60.5,10.5,cluster_10
61.5,10.5,cluster_4
62.5,10.5,cluster_4
63.5,10.5,cluster_4
64.5,10.5,cluster_4
65.5,10.5,cluster_4
66.5,10.5,cluster_4
67.5,10.5,cluster_4
68.5,10.5,cluster_4
69.5,10.5,cluster_4
7.5,10.5,cluster_4
70.5,10.5,cluster_4
75.5,10.5,cluster_9
76.5,10.5,cluster_9
77.5,10.5,cluster_9
78.5,10.5,cluster_9
79.5,10.5,cluster_9
8.5,10.5,cluster_4
80.5,10.5,cluster_9
81.5,10.5,cluster_9
9.5,10.5,cluster_4
-0.5,100.5,cluster_4
-1.5,100.5,cluster_4
-2.5,100.5,cluster_4
-3.5,100.5,cluster_4
-4.5,100.5,cluster_4
-5.5,100.5,cluster_4
-64.5,100.5,cluster_4
-65.5,100.5,cluster_2
-66.5,100.5,cluster_2
-67.5,100.5,cluster_2
-68.5,100.5,cluster_2
-69.5,100.5,cluster_2
-70.5,100.5,cluster_4
-71.5,100.5,cluster_4
-72.5,100.5,cluster_4
-73.5,100.5,cluster_4
-74.5,100.5,cluster_4
-75.5,100.5,cluster_4
-76.5,100.5,cluster_4
-77.5,100.5,cluster_4
-78.5,100.5,cluster_4
-79.5,100.5,cluster_4
-80.5,100.5,cluster_4
-81.5,100.5,cluster_4
-82.5,100.5,cluster_4
-83.5,100.5,cluster_4
-84.5,100.5,cluster_4
-85.5,100.5,cluster_4
-86.5,100.5,cluster_4
-87.5,100.5,cluster_4
-88.5,100.5,cluster_4
-89.5,100.5,cluster_4
0.5,100.5,cluster_4
1.5,100.5,cluster_4
10.5,100.5,cluster_8
11.5,100.5,cluster_8
12.5,100.5,cluster_8
13.5,100.5,cluster_9
14.5,100.5,cluster_9
15.5,100.5,cluster_10
16.5,100.5,cluster_10
17.5,100.5,cluster_10
18.5,100.5,cluster_10
19.5,100.5,cluster_10
2.5,100.5,cluster_4
20.5,100.5,cluster_10
21.5,100.5,cluster_10
22.5,100.5,cluster_10
23.5,100.5,cluster_10
24.5,100.5,cluster_10
25.5,100.5,cluster_10
26.5,100.5,cluster_10
27.5,100.5,cluster_10
28.5,100.5,cluster_10
29.5,100.5,cluster_9
3.5,100.5,cluster_9
30.5,100.5,cluster_9
31.5,100.5,cluster_9
32.5,100.5,cluster_4
33.5,100.5,cluster_4
34.5,100.5,cluster_4
35.5,100.5,cluster_4
36.5,100.5,cluster_4
37.5,100.5,cluster_4
38.5,100.5,cluster_4
39.5,100.5,cluster_9
4.5,100.5,cluster_9
40.5,100.5,cluster_9
41.5,100.5,cluster_9
42.5,100.5,cluster_9
43.5,100.5,cluster_9
44.5,100.5,cluster_9
45.5,100.5,cluster_9
46.5,100.5,cluster_9
47.5,100.5,cluster_9
48.5,100.5,cluster_9
49.5,100.5,cluster_9
5.5,100.5,cluster_9
50.5,100.5,cluster_2
51.5,100.5,cluster_2
52.5,100.5,cluster_2
53.5,100.5,cluster_2
54.5,100.5,cluster_2
55.5,100.5,cluster_2
56.5,100.5,cluster_2
57.5,100.5,cluster_4
58.5,100.5,cluster_4
59.5,100.5,cluster_4
6.5,100.5,cluster_9
60.5,100.5,cluster_4
61.5,100.5,cluster_10
62.5,100.5,cluster_10
63.5,100.5,cluster_10
64.5,100.5,cluster_10
65.5,100.5,cluster_10
66.5,100.5,cluster_10
67.5,100.5,cluster_10
68.5,100.5,cluster_10
69.5,100.5,cluster_10
7.5,100.5,cluster_9
70.5,100.5,cluster_10
71.5,100.5,cluster_10
72.5,100.5,cluster_10
73.5,100.5,cluster_10
74.5,100.5,cluster_10
75.5,100.5,cluster_9
76.5,100.5,cluster_9
77.5,100.5,cluster_9
78.5,100.5,cluster_9
79.5,100.5,cluster_9
8.5,100.5,cluster_8
80.5,100.5,cluster_9
81.5,100.5,cluster_9
82.5,100.5,cluster_9
9.5,100.5,cluster_8
-0.5,101.5,cluster_9
-1.5,101.5,cluster_9
-2.5,101.5,cluster_4
-3.5,101.5,cluster_4
-4.5,101.5,cluster_4
-5.5,101.5,cluster_4
-6.5,101.5,cluster_4
-64.5,101.5,cluster_2
-65.5,101.5,cluster_2
-66.5,101.5,cluster_2
-67.5,101.5,cluster_2
-68.5,101.5,cluster_2
-69.5,101.5,cluster_2
-70.5,101.5,cluster_2
-71.5,101.5,cluster_4
-72.5,101.5,cluster_4
-73.5,101.5,cluster_4
-74.5,101.5,cluster_4
-75.5,101.5,cluster_4
-76.5,101.5,cluster_4
-77.5,101.5,cluster_4
-78.5,101.5,cluster_4
-79.5,101.5,cluster_4
-80.5,101.5,cluster_4
-81.5,101.5,cluster_4
-82.5,101.5,cluster_4
-83.5,101.5,cluster_4
-84.5,101.5,cluster_4
-85.5,101.5,cluster_4
-86.5,101.5,cluster_4
-87.5,101.5,cluster_4
-88.5,101.5,cluster_4
-89.5,101.5,cluster_4
0.5,101.5,cluster_9
1.5,101.5,cluster_9
10.5,101.5,cluster_8
11.5,101.5,cluster_8
12.5,101.5,cluster_9
13.5,101.5,cluster_9
14.5,101.5,cluster_9
15.5,101.5,cluster_10
16.5,101.5,cluster_10
17.5,101.5,cluster_10
18.5,101.5,cluster_10
19.5,101.5,cluster_10
2.5,101.5,cluster_9
20.5,101.5,cluster_10
21.5,101.5,cluster_10
22.5,101.5,cluster_10
23.5,101.5,cluster_10
24.5,101.5,cluster_10
25.5,101.5,cluster_10
26.5,101.5,cluster_10
27.5,101.5,cluster_10
28.5,101.5,cluster_10
29.5,101.5,cluster_9
3.5,101.5,cluster_9
30.5,101.5,cluster_9
31.5,101.5,cluster_9
32.5,101.5,cluster_4
33.5,101.5,cluster_4
34.5,101.5,cluster_4
35.5,101.5,cluster_4
36.5,101.5,cluster_4
37.5,101.5,cluster_4
38.5,101.5,cluster_4
39.5,101.5,cluster_9
4.5,101.5,cluster_9
40.5,101.5,cluster_9
41.5,101.5,cluster_9
42.5,101.5,cluster_9
43.5,101.5,cluster_9
44.5,101.5,cluster_9
45.5,101.5,cluster_9
46.5,101.5,cluster_9
47.5,101.5,cluster_9
48.5,101.5,cluster_9
49.5,101.5,cluster_9
5.5,101.5,cluster_9
50.5,101.5,cluster_2
51.5,101.5,cluster_2
52.5,101.5,cluster_2
53.5,101.5,cluster_2
54.5,101.5,cluster_2
55.5,101.5,cluster_2
56.5,101.5,cluster_2
57.5,101.5,cluster_4
58.5,101.5,cluster_4
59.5,101.5,cluster_4
6.5,101.5,cluster_9
60.5,101.5,cluster_4
61.5,101.5,cluster_10
62.5,101.5,cluster_10
63.5,101.5,cluster_10
64.5,101.5,cluster_10
65.5,101.5,cluster_10
66.5,101.5,cluster_10
67.5,101.5,cluster_10
68.5,101.5,cluster_10
69.5,101.5,cluster_10
7.5,101.5,cluster_8
70.5,101.5,cluster_10
71.5,101.5,cluster_10
72.5,101.5,cluster_10
73.5,101.5,cluster_10
74.5,101.5,cluster_10
75.5,101.5,cluster_9
76.5,101.5,cluster_9
77.5,101.5,cluster_9
78.5,101.5,cluster_9
79.5,101.5,cluster_9
8.5,101.5,cluster_8
80.5,101.5,cluster_9
81.5,101.5,cluster_9
82.5,101.5,cluster_9
9.5,101.5,cluster_8
-0.5,102.5,cluster_9
-1.5,102.5,cluster_9
-2.5,102.5,cluster_4
-3.5,102.5,cluster_4
-4.5,102.5,cluster_4
-5.5,102.5,cluster_4
-6.5,102.5,cluster_4
-64.5,102.5,cluster_2
-65.5,102.5,cluster_2
-66.5,102.5,cluster_2
-67.5,102.5,cluster_2
-68.5,102.5,cluster_2
-69.5,102.5,cluster_2
-70.5,102.5,cluster_2
-71.5,102.5,cluster_4
-72.5,102.5,cluster_4
-73.5,102.5,cluster_4
-74.5,102.5,cluster_4
-75.5,102.5,cluster_4
-76.5,102.5,cluster_4
-77.5,102.5,cluster_4
-78.5,102.5,cluster_4
-79.5,102.5,cluster_4
-80.5,102.5,cluster_4
-81.5,102.5,cluster_4
-82.5,102.5,cluster_4
-83.5,102.5,cluster_4
-84.5,102.5,cluster_4
-85.5,102.5,cluster_4
-86.5,102.5,cluster_4
-87.5,102.5,cluster_4
-88.5,102.5,cluster_4
-89.5,102.5,cluster_4
0.5,102.5,cluster_9
1.5,102.5,cluster_9
10.5,102.5,cluster_8
11.5,102.5,cluster_8
12.5,102.5,cluster_9
13.5,102.5,cluster_9
14.5,102.5,cluster_9
15.5,102.5,cluster_10
16.5,102.5,cluster_10
17.5,102.5,cluster_10
18.5,102.5,cluster_10
19.5,102.5,cluster_10
2.5,102.5,cluster_9
20.5,102.5,cluster_10
21.5,102.5,cluster_10
22.5,102.5,cluster_10
23.5,102.5,cluster_10
24.5,102.5,cluster_10
25.5,102.5,cluster_10
26.5,102.5,cluster_10
27.5,102.5,cluster_10
28.5,102.5,cluster_4
29.5,102.5,cluster_4
3.5,102.5,cluster_9
30.5,102.5,cluster_4
31.5,102.5,cluster_4
32.5,102.5,cluster_4
33.5,102.5,cluster_4
34.5,102.5,cluster_4
35.5,102.5,cluster_4
36.5,102.5,cluster_4
37.5,102.5,cluster_9
38.5,102.5,cluster_9
39.5,102.5,cluster_9
4.5,102.5,cluster_9
40.5,102.5,cluster_9
41.5,102.5,cluster_9
42.5,102.5,cluster_9
43.5,102.5,cluster_9
44.5,102.5,cluster_9
45.5,102.5,cluster_9
46.5,102.5,cluster_9
47.5,102.5,cluster_9
48.5,102.5,cluster_9
49.5,102.5,cluster_9
5.5,102.5,cluster_9
50.5,102.5,cluster_2
51.5,102.5,cluster_2
52.5,102.5,cluster_2
53.5,102.5,cluster_2
54.5,102.5,cluster_2
55.5,102.5,cluster_2
56.5,102.5,cluster_2
57.5,102.5,cluster_4
58.5,102.5,cluster_4
59.5,102.5,cluster_4
6.5,102.5,cluster_9
60.5,102.5,cluster_10
61.5,102.5,cluster_10
62.5,102.5,cluster_10
63.5,102.5,cluster_10
64.5,102.5,cluster_10
65.5,102.5,cluster_10
66.5,102.5,cluster_10
67.5,102.5,cluster_10
68.5,102.5,cluster_10
69.5,102.5,cluster_10
7.5,102.5,cluster_8
70.5,102.5,cluster_10
71.5,102.5,cluster_10
72.5,102.5,cluster_10
73.5,102.5,cluster_10
74.5,102.5,cluster_10
75.5,102.5,cluster_9
76.5,102.5,cluster_9
77.5,102.5,cluster_9
78.5,102.5,cluster_9
79.5,102.5,cluster_9
8.5,102.5,cluster_8
80.5,102.5,cluster_9
81.5,102.5,cluster_9
82.5,102.5,cluster_9
9.5,102.5,cluster_8
-0.5,103.5,cluster_9
-1.5,103.5,cluster_9
-2.5,103.5,cluster_9
-3.5,103.5,cluster_4
-4.5,103.5,cluster_4
-5.5,103.5,cluster_4
-6.5,103.5,cluster_4
-64.5,103.5,cluster_2
-65.5,103.5,cluster_2
-66.5,103.5,cluster_2
-67.5,103.5,cluster_2
-68.5,103.5,cluster_2
-69.5,103.5,cluster_2
-7.5,103.5,cluster_4
-70.5,103.5,cluster_2
-71.5,103.5,cluster_4
-72.5,103.5,cluster_4
-73.5,103.5,cluster_4
-74.5,103.5,cluster_4
-75.5,103.5,cluster_4
-76.5,103.5,cluster_4
-77.5,103.5,cluster_4
-78.5,103.5,cluster_4
-79.5,103.5,cluster_4
-80.5,103.5,cluster_4
-81.5,103.5,cluster_4
-82.5,103.5,cluster_4
-83.5,103.5,cluster_4
-84.5,103.5,cluster_4
-85.5,103.5,cluster_4
-86.5,103.5,cluster_4
-87.5,103.5,cluster_4
-88.5,103.5,cluster_4
-89.5,103.5,cluster_4
0.5,103.5,cluster_9
1.5,103.5,cluster_9
10.5,103.5,cluster_8
11.5,103.5,cluster_9
12.5,103.5,cluster_9
13.5,103.5,cluster_9
14.5,103.5,cluster_9
15.5,103.5,cluster_10
16.5,103.5,cluster_10
17.5,103.5,cluster_10
18.5,103.5,cluster_4
19.5,103.5,cluster_4
2.5,103.5,cluster_9
20.5,103.5,cluster_10
21.5,103.5,cluster_10
22.5,103.5,cluster_10
23.5,103.5,cluster_10
24.5,103.5,cluster_10
25.5,103.5,cluster_10
26.5,103.5,cluster_10
27.5,103.5,cluster_10
28.5,103.5,cluster_4
29.5,103.5,cluster_4
